year,area_code,borough,nightly_paid,leased,hostels,bed_and_breakfast,la_ha_stock,other_ta,ta_admin,prevention,total_homelessness,ta_total
2023-24,E09000015,Harrow,3549000.0,2608000.0,27000.0,1521000.0,-4224000.0,0.0,1526000.0,3423000.0,8430000.0,3481000.0
2023-24,E09000016,Havering,4799000.0,3952000.0,259000.0,458000.0,0.0,0.0,1331000.0,6035000.0,17760000.0,9468000.0
2023-24,E09000017,Hillingdon,0.0,0.0,0.0,8427000.0,0.0,434000.0,3465000.0,3187000.0,15513000.0,8861000.0
2023-24,E09000018,Hounslow,396000.0,2597000.0,0.0,2784000.0,0.0,128000.0,0.0,-339000.0,10361000.0,5905000.0
2023-24,E09000019,Islington,4688000.0,50000.0,0.0,0.0,0.0,-8000.0,584000.0,2663000.0,8397000.0,4730000.0
2023-24,E09000020,Kensington and Chelsea,0.0,9654000.0,0.0,1511000.0,214000.0,3514000.0,3261000.0,7677000.0,27562000.0,14893000.0
2023-24,E09000021,Kingston Upon Thames,0.0,3695000.0,0.0,7831000.0,0.0,0.0,805000.0,0.0,12331000.0,11526000.0
2023-24,E09000022,Lambeth,0.0,6000.0,0.0,46777000.0,0.0,0.0,0.0,5129000.0,51912000.0,46783000.0
2023-24,E09000023,Lewisham,3415000.0,8221000.0,-355000.0,19052000.0,-1429000.0,0.0,0.0,2953000.0,31857000.0,28904000.0
2023-24,E09000024,Merton,0.0,0.0,0.0,5153000.0,0.0,0.0,0.0,707000.0,5860000.0,5153000.0
2023-24,E09000025,Newham,31883000.0,686000.0,0.0,9800000.0,5409000.0,70000.0,3805000.0,4902000.0,56555000.0,47848000.0
2023-24,E09000026,Redbridge,10594000.0,6308000.0,-511000.0,7702000.0,-569000.0,0.0,2157000.0,8561000.0,37267000.0,23524000.0
2023-24,E09000027,Richmond upon Thames,4932000.0,840000.0,198000.0,842000.0,0.0,330000.0,1251000.0,2212000.0,12028000.0,7142000.0
2023-24,E09000028,Southwark,0.0,1934000.0,0.0,15562000.0,0.0,3941000.0,10056000.0,-87000.0,31406000.0,21437000.0
2023-24,E09000029,Sutton,0.0,438000.0,0.0,4290000.0,0.0,0.0,0.0,0.0,4728000.0,4728000.0
2023-24,E09000030,Tower Hamlets,1480000.0,120000.0,0.0,2467000.0,-7821000.0,0.0,5668000.0,5497000.0,12258000.0,-3754000.0
2023-24,E09000031,Waltham Forest,5993000.0,1646000.0,0.0,3567000.0,0.0,570000.0,1081000.0,5985000.0,19213000.0,11776000.0
2023-24,E09000032,Wandsworth,15759000.0,5232000.0,15000.0,2796000.0,0.0,0.0,0.0,16000.0,30638000.0,23802000.0
2023-24,E09000033,Westminster,31545000.0,13562000.0,0.0,4029000.0,-5594000.0,0.0,0.0,0.0,52494000.0,43542000.0
2024-25,E09000002,Barking and Dagenham,0.0,3359000.0,-947000.0,1540000.0,-1348000.0,0.0,2856000.0,3895000.0,9355000.0,2604000.0
2024-25,E09000003,Barnet,7617330.0,2659700.0,0.0,0.0,-222950.0,1366690.0,0.0,8845250.0,20266020.0,11420770.0
2024-25,E09000004,Bexley,1233000.0,4213000.0,687000.0,0.0,-685000.0,0.0,68000.0,41000.0,8222000.0,5448000.0
2024-25,E09000005,Brent,5174000.0,6626000.0,0.0,19134000.0,1605000.0,0.0,0.0,18631000.0,51170000.0,32539000.0
2024-25,E09000006,Bromley,18148000.0,2414000.0,0.0,0.0,-283000.0,0.0,0.0,1237000.0,28483000.0,20279000.0
2024-25,E09000007,Camden,11398000.0,0.0,1112000.0,9220000.0,0.0,0.0,2969000.0,3719000.0,33564000.0,21730000.0
2024-25,E09000001,City of London,0.0,0.0,0.0,-252000.0,0.0,0.0,0.0,5468000.0,5216000.0,-252000.0
2024-25,E09000008,Croydon,20855740.0,2465590.0,1355310.0,7686540.0,69940.0,1954360.0,1560000.0,5725040.0,43030320.0,34387480.0
2024-25,E09000009,Ealing,1783300.0,3180400.0,548000.0,4920600.0,159100.0,2168520.0,4003500.0,11357020.0,28687440.0,12759920.0
2024-25,E09000010,Enfield,20853100.0,8391060.0,0.0,0.0,0.0,28000.0,2822830.0,7537000.0,39609990.0,29272160.0
2024-25,E09000011,Greenwich,12789000.0,148000.0,0.0,3885000.0,-8908000.0,0.0,1346000.0,1914000.0,11833000.0,7914000.0
2024-25,E09000012,Hackney,25023000.0,-1088000.0,5809000.0,1389000.0,0.0,0.0,0.0,14540000.0,46819000.0,31133000.0
2024-25,E09000013,Hammersmith and Fulham,6432000.0,9585000.0,0.0,2215000.0,0.0,0.0,1083000.0,3897000.0,25141000.0,18232000.0
2024-25,E09000014,Haringey,13221000.0,4696000.0,336000.0,5146000.0,180000.0,1588000.0,4816000.0,883000.0,36653000.0,25167000.0
2024-25,E09000015,Harrow,6872000.0,1148000.0,13000.0,2945000.0,-2454000.0,0.0,1574000.0,3637000.0,13735000.0,8524000.0
2024-25,E09000016,Havering,5080000.0,2699000.0,562000.0,2130000.0,0.0,0.0,1512000.0,8050000.0,20445000.0,10471000.0
2024-25,E09000017,Hillingdon,0.0,0.0,0.0,12648000.0,0.0,119000.0,3960000.0,3847000.0,20574000.0,12767000.0
2024-25,E09000018,Hounslow,535000.0,1482000.0,0.0,7665000.0,0.0,33000.0,0.0,-17000.0,17303000.0,9715000.0
2024-25,E09000019,Islington,11212050.0,-61060.0,0.0,0.0,0.0,-1190.0,862690.0,2712110.0,15827180.0,11149800.0
2024-25,E09000020,Kensington and Chelsea,0.0,14731000.0,0.0,0.0,164000.0,482000.0,4547000.0,7964000.0,30820000.0,15377000.0
2024-25,E09000021,Kingston Upon Thames,241000.0,3098000.0,0.0,10222000.0,0.0,0.0,622000.0,8000.0,15062000.0,13561000.0
2024-25,E09000022,Lambeth,102351630.0,9763380.0,0.0,-40557290.0,0.0,0.0,2039350.0,6242320.0,79839390.0,71557720.0
2024-25,E09000023,Lewisham,4689000.0,8736000.0,-23000.0,25002000.0,-275000.0,0.0,0.0,2969000.0,41098000.0,38129000.0
2024-25,E09000024,Merton,8761020.0,0.0,0.0,899660.0,0.0,27680.0,0.0,656750.0,10345110.0,9688360.0
2024-25,E09000025,Newham,56134000.0,1341000.0,0.0,5206000.0,5253000.0,78000.0,3562000.0,5282000.0,76856000.0,68012000.0
2024-25,E09000026,Redbridge,12606000.0,4105000.0,-687000.0,5991000.0,-401000.0,0.0,1513000.0,10355000.0,35902000.0,21614000.0
2024-25,E09000027,Richmond upon Thames,6161000.0,850000.0,61000.0,1010000.0,0.0,366000.0,1396000.0,2321000.0,13702000.0,8448000.0
2024-25,E09000028,Southwark,28214000.0,7478000.0,0.0,0.0,0.0,0.0,11270480.0,86050.0,47048530.0,35692000.0
2024-25,E09000029,Sutton,7622000.0,389000.0,0.0,0.0,0.0,0.0,0.0,0.0,12895000.0,8011000.0
2024-25,E09000030,Tower Hamlets,-426000.0,13183000.0,0.0,7888000.0,-2634000.0,0.0,4082000.0,10950000.0,35296000.0,18011000.0
2024-25,E09000031,Waltham Forest,11290000.0,3533000.0,0.0,7771000.0,0.0,427000.0,1148000.0,5197000.0,29649000.0,23021000.0
2024-25,E09000032,Wandsworth,22189000.0,4645000.0,132000.0,4048000.0,0.0,0.0,0.0,146000.0,39977000.0,31014000.0
2024-25,E09000033,Westminster,47995570.0,17378960.0,0.0,13581970.0,-6465100.0,0.0,0.0,14557390.0,102036620.0,72491400.0
